2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269006984, 'eTimeStamp': 1269010450}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268754438, 'eTimeStamp': 1268756903}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269029822, 'eTimeStamp': 1269031382}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268775881, 'eTimeStamp': 1268779287}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269060761, 'eTimeStamp': 1269064873}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268809219, 'eTimeStamp': 1268811748}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269085975, 'eTimeStamp': 1269090748}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268835921, 'eTimeStamp': 1268841546}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269117170, 'eTimeStamp': 1269121668}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268865715, 'eTimeStamp': 1268869138}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269138857, 'eTimeStamp': 1269147117}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268891549, 'eTimeStamp': 1268900896}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269163368, 'eTimeStamp': 1269164816}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268908837, 'eTimeStamp': 1268913074}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269190090, 'eTimeStamp': 1269193159}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268937223, 'eTimeStamp': 1268941719}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269216506, 'eTimeStamp': 1269224897}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268969635, 'eTimeStamp': 1268977473}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1269240403, 'eTimeStamp': 1269242631}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268987605, 'eTimeStamp': 1268989059}]
